username,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Goblet of Fire,Harry Potter and the Order of the Phoenix,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Sorcerers Stone
Abbie Bernstein,4.625,,,,
Amie Simon,,,,,
Amy Biancolli,,,,,
Andrew Collins,,,,,4
Annalee Newitz,,,,,
Anthony Lane,,,,,
Antonia Quirke,,,,,
Brian Eggert,4.375,,,,
Bruce Diones,,,,,
Christopher Borrelli,,,,4,
Christopher Orr,,,,,
Cory Woodroof,,,,,
Cosmo Landesman,,,,,
Dan Webster,,,,4.375,
Daniel Saney,,5,,,
Dave Giannini,,,,,
David Nusair,4.375,3.125,3.75,3.75,3.125
David Walker,,,,,
Debbie Lynn Elias,,,,,
Deborah Ross,,,,,
Dennis King,,4.375,,,
Don Shanahan,5,,,,
Edward Frost,4,,,,
Felix Vasquez Jr.,,,,,
Film Companion Staff,,,,,
Giovanni Fazio,,,4,,
Guillem Martinez Oya,5,4,4,4,4
Jami Bernard,,,,,4.375
Jay Stone,,3.5,,,
Jeff Meyers,,,4.625,,
Jeremy Jahns,,,,,
Jim Schembri,,1.5,,,
Juan Luis Caviaro,,,,,
Kaleem Aftab,,,1,,
Kate Rodger,4,,,,
Kelly Jane Torrance,4,,,,
Kevin Carr,,,,4.5,
Kevin Maher,,,,4,4
Leah Rozen,,,4.375,,
Leigh Paatsch,,,3,,4
Leslie Combemale,,,,,
Mark Kermode,,,,,
Mark Steyn,,,,,
Martin Carr,4,4,,4,4
Matt Soergel,,4.375,,4.375,
Mattie Lucas,4.375,3.75,3.75,,
Michael Kleinschrodt,,5,,,
Micheal Compton,,,,,
Mike Massie,4,3,2,3.5,4
Nell Minow,,,,,5
Peter Bradshaw,,3,,,
Rachel LaBonte,,,4,,
Rachel Wagner,5,3.375,5,5,3.375
Rebecca Cusey,,,,,
Richard Propes,4.375,,,,
Rob Vaux,,,,,
Sean Axmaker,,,,,
Sebastian Zavala Kahn,,,,4.5,
Sergi Sánchez,,,3,,
Sukhdev Sandhu,,4,,,
Tim Brayton,,,,3.5,
Todd McCarthy,,,,,
Victoria Segal,,,,,
Virginia Montes,,,3,,
